,County,City,State,Geog_Area_Type,Gigabit_Fiber_Coverage,Business_Density
226935,Barrow County,Barrow,GA,Nontribal,Moderate,Moderate
226965,Bartow County,Bartow,GA,Nontribal,Limited,High
226995,Ben Hill County,Ben Hill,GA,Nontribal,Good,Low
227025,Berrien County,Berrien,GA,Nontribal,Good,Low
227055,Bibb County,Bibb,GA,Nontribal,Moderate,High
227085,Bleckley County,Bleckley,GA,Nontribal,Excellent,Low
227115,Brantley County,Brantley,GA,Nontribal,Excellent,Low
227145,Brooks County,Brooks,GA,Nontribal,Moderate,Low
227175,Bryan County,Bryan,GA,Nontribal,Moderate,Moderate
227205,Bulloch County,Bulloch,GA,Nontribal,Good,Moderate
227235,Burke County,Burke,GA,Nontribal,Limited,Low
227265,Butts County,Butts,GA,Nontribal,Good,Low
227295,Calhoun County,Calhoun,GA,Nontribal,Limited,Low
227325,Camden County,Camden,GA,Nontribal,Good,Moderate
227355,Candler County,Candler,GA,Nontribal,Excellent,Low
227385,Carroll County,Carroll,GA,Nontribal,Limited,High
227415,Catoosa County,Catoosa,GA,Nontribal,Good,Moderate
227445,Charlton County,Charlton,GA,Nontribal,Moderate,Low
227475,Chatham County,Chatham,GA,Nontribal,Moderate,High
227505,Chattahoochee County,Chattahoochee,GA,Nontribal,Limited,Low
227535,Chattooga County,Chattooga,GA,Nontribal,Moderate,Low
227565,Cherokee County,Cherokee,GA,Nontribal,Good,High
227595,Clarke County,Clarke,GA,Nontribal,Moderate,High
227625,Clay County,Clay,GA,Nontribal,Moderate,Low
227655,Clayton County,Clayton,GA,Nontribal,Good,High
227685,Clinch County,Clinch,GA,Nontribal,Limited,Low
227715,Cobb County,Cobb,GA,Nontribal,Moderate,High
227745,Coffee County,Coffee,GA,Nontribal,Moderate,Moderate
227775,Colquitt County,Colquitt,GA,Nontribal,Good,Moderate
227805,Columbia County,Columbia,GA,Nontribal,Moderate,High
227835,Cook County,Cook,GA,Nontribal,Moderate,Low
227865,Coweta County,Coweta,GA,Nontribal,Moderate,High
227895,Crawford County,Crawford,GA,Nontribal,Excellent,Low
227925,Crisp County,Crisp,GA,Nontribal,Moderate,Low
227955,Dade County,Dade,GA,Nontribal,Excellent,Low
227985,Dawson County,Dawson,GA,Nontribal,Moderate,Low
228015,Decatur County,Decatur,GA,Nontribal,Limited,Moderate
228045,DeKalb County,DeKalb,GA,Nontribal,Good,High
228075,Dodge County,Dodge,GA,Nontribal,Good,Low
228105,Dooly County,Dooly,GA,Nontribal,Excellent,Low
228135,Dougherty County,Dougherty,GA,Nontribal,Moderate,Moderate
228165,Douglas County,Douglas,GA,Nontribal,Good,High
228195,Early County,Early,GA,Nontribal,Limited,Low
228225,Echols County,Echols,GA,Nontribal,Limited,Low
228255,Effingham County,Effingham,GA,Nontribal,Limited,Moderate
228285,Elbert County,Elbert,GA,Nontribal,Limited,Low
228315,Emanuel County,Emanuel,GA,Nontribal,Excellent,Low
228345,Evans County,Evans,GA,Nontribal,Excellent,Low
228375,Fannin County,Fannin,GA,Nontribal,Moderate,Moderate
228405,Fayette County,Fayette,GA,Nontribal,Good,High
228435,Floyd County,Floyd,GA,Nontribal,Moderate,Moderate
228465,Forsyth County,Forsyth,GA,Nontribal,Good,High
228495,Franklin County,Franklin,GA,Nontribal,Limited,Low
228525,Fulton County,Fulton,GA,Nontribal,Good,High
228555,Gilmer County,Gilmer,GA,Nontribal,Limited,Moderate
228585,Glascock County,Glascock,GA,Nontribal,Limited,Low
228615,Glynn County,Glynn,GA,Nontribal,Good,Moderate
228645,Gordon County,Gordon,GA,Nontribal,Limited,Moderate
228675,Grady County,Grady,GA,Nontribal,Good,Low
228705,Greene County,Greene,GA,Nontribal,Limited,Low
228735,Gwinnett County,Gwinnett,GA,Nontribal,Good,High
228765,Habersham County,Habersham,GA,Nontribal,Good,Moderate
228795,Hall County,Hall,GA,Nontribal,Moderate,High
228825,Hancock County,Hancock,GA,Nontribal,Good,Low
228855,Haralson County,Haralson,GA,Nontribal,Limited,Low
228885,Harris County,Harris,GA,Nontribal,Moderate,Moderate
228915,Hart County,Hart,GA,Nontribal,Good,Moderate
228945,Heard County,Heard,GA,Nontribal,Limited,Low
228975,Henry County,Henry,GA,Nontribal,Good,High
229005,Houston County,Houston,GA,Nontribal,Good,High
229035,Irwin County,Irwin,GA,Nontribal,Excellent,Low
229065,Jackson County,Jackson,GA,Nontribal,Limited,Moderate
229095,Jasper County,Jasper,GA,Nontribal,Good,Low
229125,Jeff Davis County,Jeff Davis,GA,Nontribal,Excellent,Low
229155,Jefferson County,Jefferson,GA,Nontribal,Limited,Low
229185,Jenkins County,Jenkins,GA,Nontribal,Moderate,Low
229215,Johnson County,Johnson,GA,Nontribal,Good,Low
229245,Jones County,Jones,GA,Nontribal,Excellent,Low
229275,Lamar County,Lamar,GA,Nontribal,Good,Low
229305,Lanier County,Lanier,GA,Nontribal,Excellent,Low
229335,Laurens County,Laurens,GA,Nontribal,Limited,Moderate
229365,Lee County,Lee,GA,Nontribal,Limited,Low
229395,Liberty County,Liberty,GA,Nontribal,Limited,Moderate
229425,Lincoln County,Lincoln,GA,Nontribal,Excellent,Low
229455,Long County,Long,GA,Nontribal,Moderate,Low
229485,Lowndes County,Lowndes,GA,Nontribal,Moderate,High
229515,Lumpkin County,Lumpkin,GA,Nontribal,Moderate,Low
229545,McDuffie County,McDuffie,GA,Nontribal,Limited,Low
229575,McIntosh County,McIntosh,GA,Nontribal,Moderate,Low
229605,Macon County,Macon,GA,Nontribal,Good,Low
229635,Madison County,Madison,GA,Nontribal,Limited,Low
229665,Marion County,Marion,GA,Nontribal,Limited,Low
229695,Meriwether County,Meriwether,GA,Nontribal,Moderate,Low
229725,Miller County,Miller,GA,Nontribal,Moderate,Low
229755,Mitchell County,Mitchell,GA,Nontribal,Moderate,Low
229785,Monroe County,Monroe,GA,Nontribal,Excellent,Low
229815,Montgomery County,Montgomery,GA,Nontribal,Excellent,Low
229845,Morgan County,Morgan,GA,Nontribal,Moderate,Low
229875,Murray County,Murray,GA,Nontribal,Limited,Moderate
229905,Muscogee County,Muscogee,GA,Nontribal,Moderate,High
229935,Newton County,Newton,GA,Nontribal,Moderate,Moderate
229965,Oconee County,Oconee,GA,Nontribal,Limited,Moderate
229995,Oglethorpe County,Oglethorpe,GA,Nontribal,Limited,Low
230025,Paulding County,Paulding,GA,Nontribal,Good,High
230055,Peach County,Peach,GA,Nontribal,Moderate,Low
230085,Pickens County,Pickens,GA,Nontribal,Moderate,Moderate
230115,Pierce County,Pierce,GA,Nontribal,Good,Low
230145,Pike County,Pike,GA,Nontribal,Good,Low
230175,Polk County,Polk,GA,Nontribal,Limited,Moderate
230205,Pulaski County,Pulaski,GA,Nontribal,Excellent,Low
230235,Putnam County,Putnam,GA,Nontribal,Excellent,Moderate
230265,Quitman County,Quitman,GA,Nontribal,Limited,Low
230295,Rabun County,Rabun,GA,Nontribal,Limited,Low
230325,Randolph County,Randolph,GA,Nontribal,Good,Low
230355,Richmond County,Richmond,GA,Nontribal,Limited,High
230385,Rockdale County,Rockdale,GA,Nontribal,Moderate,Moderate
230415,Schley County,Schley,GA,Nontribal,Moderate,Low
230445,Screven County,Screven,GA,Nontribal,Moderate,Low
230475,Seminole County,Seminole,GA,Nontribal,Moderate,Low
230505,Spalding County,Spalding,GA,Nontribal,Good,Moderate
230535,Stephens County,Stephens,GA,Nontribal,Moderate,Low
230565,Stewart County,Stewart,GA,Nontribal,Limited,Low
230595,Sumter County,Sumter,GA,Nontribal,Moderate,Moderate
230625,Talbot County,Talbot,GA,Nontribal,Limited,Low
230655,Taliaferro County,Taliaferro,GA,Nontribal,Excellent,Low
230685,Tattnall County,Tattnall,GA,Nontribal,Moderate,Low
230715,Taylor County,Taylor,GA,Nontribal,Moderate,Low
230745,Telfair County,Telfair,GA,Nontribal,Moderate,Low
230775,Terrell County,Terrell,GA,Nontribal,Moderate,Low
230805,Thomas County,Thomas,GA,Nontribal,Limited,Moderate
230835,Tift County,Tift,GA,Nontribal,Limited,Moderate
230865,Toombs County,Toombs,GA,Nontribal,Excellent,Low
230895,Towns County,Towns,GA,Nontribal,Moderate,Low
230925,Treutlen County,Treutlen,GA,Nontribal,Excellent,Low
230955,Troup County,Troup,GA,Nontribal,Limited,Moderate
230985,Turner County,Turner,GA,Nontribal,Excellent,Low
231015,Twiggs County,Twiggs,GA,Nontribal,Moderate,Low
231045,Union County,Union,GA,Nontribal,Moderate,Moderate
231075,Upson County,Upson,GA,Nontribal,Excellent,Low
231105,Walker County,Walker,GA,Nontribal,Moderate,Moderate
231135,Walton County,Walton,GA,Nontribal,Moderate,Moderate
231165,Ware County,Ware,GA,Nontribal,Limited,Moderate
231195,Warren County,Warren,GA,Nontribal,Limited,Low
231225,Washington County,Washington,GA,Nontribal,Good,Low
231255,Wayne County,Wayne,GA,Nontribal,Limited,Low
231285,Webster County,Webster,GA,Nontribal,Limited,Low
231315,Wheeler County,Wheeler,GA,Nontribal,Moderate,Low
231345,White County,White,GA,Nontribal,Excellent,Moderate
231375,Whitfield County,Whitfield,GA,Nontribal,Good,Moderate
231405,Wilcox County,Wilcox,GA,Nontribal,Good,Low
231435,Wilkes County,Wilkes,GA,Nontribal,Excellent,Low
231465,Wilkinson County,Wilkinson,GA,Nontribal,Limited,Low
231495,Worth County,Worth,GA,Nontribal,Moderate,Low
231525,Hawaii County,Hawaii,HI,Nontribal,Limited,High
231555,Honolulu County,Honolulu,HI,Nontribal,Limited,High
231585,Kalawao County,Kalawao,HI,Nontribal,Limited,Low
231615,Kauai County,Kauai,HI,Nontribal,Limited,Moderate
231645,Maui County,Maui,HI,Nontribal,Limited,High
231675,Ada County,Ada,ID,Nontribal,Limited,High
231705,Adams County,Adams,ID,Nontribal,Limited,Low
231735,Bannock County,Bannock,ID,Nontribal,Excellent,Moderate
231765,Bear Lake County,Bear Lake,ID,Nontribal,Good,Low
231795,Benewah County,Benewah,ID,Nontribal,Limited,Low
231825,Bingham County,Bingham,ID,Nontribal,Good,Moderate
231855,Blaine County,Blaine,ID,Nontribal,Limited,Moderate
231885,Boise County,Boise,ID,Nontribal,Limited,Low
231915,Bonner County,Bonner,ID,Nontribal,Moderate,Moderate
231945,Bonneville County,Bonneville,ID,Nontribal,Excellent,High
231975,Boundary County,Boundary,ID,Nontribal,Moderate,Low
232005,Butte County,Butte,ID,Nontribal,Moderate,Low
232035,Camas County,Camas,ID,Nontribal,Limited,Low
232065,Canyon County,Canyon,ID,Nontribal,Limited,High
232095,Caribou County,Caribou,ID,Nontribal,Moderate,Low
232125,Cassia County,Cassia,ID,Nontribal,Good,Low
232155,Clark County,Clark,ID,Nontribal,Limited,Low
232185,Clearwater County,Clearwater,ID,Nontribal,Limited,Low
232215,Custer County,Custer,ID,Nontribal,Moderate,Low
232245,Elmore County,Elmore,ID,Nontribal,Limited,Low
232275,Franklin County,Franklin,ID,Nontribal,Moderate,Low
232305,Fremont County,Fremont,ID,Nontribal,Moderate,Low
232335,Gem County,Gem,ID,Nontribal,Limited,Low
232365,Gooding County,Gooding,ID,Nontribal,Limited,Low
232395,Idaho County,Idaho,ID,Nontribal,Limited,Low
232425,Jefferson County,Jefferson,ID,Nontribal,Moderate,Low
232455,Jerome County,Jerome,ID,Nontribal,Moderate,Low
232485,Kootenai County,Kootenai,ID,Nontribal,Good,High
232515,Latah County,Latah,ID,Nontribal,Moderate,Moderate
232545,Lemhi County,Lemhi,ID,Nontribal,Limited,Low
232575,Lewis County,Lewis,ID,Nontribal,Limited,Low
232605,Lincoln County,Lincoln,ID,Nontribal,Limited,Low
232635,Madison County,Madison,ID,Nontribal,Excellent,Moderate
232665,Minidoka County,Minidoka,ID,Nontribal,Moderate,Low
232695,Nez Perce County,Nez Perce,ID,Nontribal,Limited,Moderate
232725,Oneida County,Oneida,ID,Nontribal,Excellent,Low
232755,Owyhee County,Owyhee,ID,Nontribal,Limited,Low
232785,Payette County,Payette,ID,Nontribal,Moderate,Low
232815,Power County,Power,ID,Nontribal,Good,Low
232845,Shoshone County,Shoshone,ID,Nontribal,Moderate,Low
232875,Teton County,Teton,ID,Nontribal,Good,Low
232905,Twin Falls County,Twin Falls,ID,Nontribal,Moderate,Moderate
232935,Valley County,Valley,ID,Nontribal,Limited,Low
232965,Washington County,Washington,ID,Nontribal,Limited,Low
232995,Adams County,Adams,IL,Nontribal,Excellent,Moderate
233025,Alexander County,Alexander,IL,Nontribal,Limited,Low
233055,Bond County,Bond,IL,Nontribal,Limited,Low
233085,Boone County,Boone,IL,Nontribal,Limited,Moderate
233115,Brown County,Brown,IL,Nontribal,Good,Low
233145,Bureau County,Bureau,IL,Nontribal,Moderate,Moderate
233175,Calhoun County,Calhoun,IL,Nontribal,Moderate,Low
233205,Carroll County,Carroll,IL,Nontribal,Moderate,Low
233235,Cass County,Cass,IL,Nontribal,Good,Low
233265,Champaign County,Champaign,IL,Nontribal,Good,High
233295,Christian County,Christian,IL,Nontribal,Good,Moderate
233325,Clark County,Clark,IL,Nontribal,Good,Low
233355,Clay County,Clay,IL,Nontribal,Excellent,Low
233385,Clinton County,Clinton,IL,Nontribal,Limited,Moderate
233415,Coles County,Coles,IL,Nontribal,Limited,Moderate
233445,Cook County,Cook,IL,Nontribal,Moderate,High
233475,Crawford County,Crawford,IL,Nontribal,Limited,Low
233505,Cumberland County,Cumberland,IL,Nontribal,Moderate,Low
233535,DeKalb County,DeKalb,IL,Nontribal,Good,Moderate
233565,De Witt County,De Witt,IL,Nontribal,Good,Low
233595,Douglas County,Douglas,IL,Nontribal,Limited,Low
233625,DuPage County,DuPage,IL,Nontribal,Limited,High
233655,Edgar County,Edgar,IL,Nontribal,Moderate,Low
233685,Edwards County,Edwards,IL,Nontribal,Moderate,Low
233715,Effingham County,Effingham,IL,Nontribal,Moderate,Moderate
233745,Fayette County,Fayette,IL,Nontribal,Limited,Low
233775,Ford County,Ford,IL,Nontribal,Limited,Low
233805,Franklin County,Franklin,IL,Nontribal,Limited,Moderate
233835,Fulton County,Fulton,IL,Nontribal,Good,Moderate
233865,Gallatin County,Gallatin,IL,Nontribal,Limited,Low
233895,Greene County,Greene,IL,Nontribal,Limited,Low
233925,Grundy County,Grundy,IL,Nontribal,Good,Moderate
233955,Hamilton County,Hamilton,IL,Nontribal,Moderate,Low
233985,Hancock County,Hancock,IL,Nontribal,Good,Low
234015,Hardin County,Hardin,IL,Nontribal,Limited,Low
234045,Henderson County,Henderson,IL,Nontribal,Good,Low
234075,Henry County,Henry,IL,Nontribal,Good,Moderate
234105,Iroquois County,Iroquois,IL,Nontribal,Limited,Moderate
234135,Jackson County,Jackson,IL,Nontribal,Limited,Moderate
234165,Jasper County,Jasper,IL,Nontribal,Moderate,Low
234195,Jefferson County,Jefferson,IL,Nontribal,Limited,Moderate
234225,Jersey County,Jersey,IL,Nontribal,Limited,Low
234255,Jo Daviess County,Jo Daviess,IL,Nontribal,Good,Moderate
234285,Johnson County,Johnson,IL,Nontribal,Moderate,Low
234315,Kane County,Kane,IL,Nontribal,Moderate,High
234345,Kankakee County,Kankakee,IL,Nontribal,Limited,High
234375,Kendall County,Kendall,IL,Nontribal,Good,High
234405,Knox County,Knox,IL,Nontribal,Excellent,Moderate
234435,Lake County,Lake,IL,Nontribal,Limited,High
234465,LaSalle County,LaSalle,IL,Nontribal,Moderate,High
234495,Lawrence County,Lawrence,IL,Nontribal,Limited,Low
234525,Lee County,Lee,IL,Nontribal,Moderate,Moderate
234555,Livingston County,Livingston,IL,Nontribal,Limited,Moderate
234585,Logan County,Logan,IL,Nontribal,Good,Low
234615,McDonough County,McDonough,IL,Nontribal,Moderate,Moderate
234645,McHenry County,McHenry,IL,Nontribal,Limited,High
234675,McLean County,McLean,IL,Nontribal,Good,High
234705,Macon County,Macon,IL,Nontribal,Limited,High
234735,Macoupin County,Macoupin,IL,Nontribal,Limited,Moderate
234765,Madison County,Madison,IL,Nontribal,Limited,High
234795,Marion County,Marion,IL,Nontribal,Moderate,Moderate
234825,Marshall County,Marshall,IL,Nontribal,Limited,Low
234855,Mason County,Mason,IL,Nontribal,Good,Low
234885,Massac County,Massac,IL,Nontribal,Moderate,Low
234915,Menard County,Menard,IL,Nontribal,Good,Low
234945,Mercer County,Mercer,IL,Nontribal,Limited,Low
234975,Monroe County,Monroe,IL,Nontribal,Moderate,Moderate
235005,Montgomery County,Montgomery,IL,Nontribal,Moderate,Moderate
235035,Morgan County,Morgan,IL,Nontribal,Good,Moderate
235065,Moultrie County,Moultrie,IL,Nontribal,Limited,Low
235095,Ogle County,Ogle,IL,Nontribal,Limited,Moderate
235125,Peoria County,Peoria,IL,Nontribal,Good,High
235155,Perry County,Perry,IL,Nontribal,Limited,Low
235185,Piatt County,Piatt,IL,Nontribal,Good,Low
235215,Pike County,Pike,IL,Nontribal,Moderate,Low
235245,Pope County,Pope,IL,Nontribal,Limited,Low
235275,Pulaski County,Pulaski,IL,Nontribal,Limited,Low
235305,Putnam County,Putnam,IL,Nontribal,Limited,Low
235335,Randolph County,Randolph,IL,Nontribal,Limited,Moderate
235365,Richland County,Richland,IL,Nontribal,Limited,Low
235395,Rock Island County,Rock Island,IL,Nontribal,Excellent,High
235425,St. Clair County,St. Clair,IL,Nontribal,Limited,High
235455,Saline County,Saline,IL,Nontribal,Moderate,Low
235485,Sangamon County,Sangamon,IL,Nontribal,Good,High
235515,Schuyler County,Schuyler,IL,Nontribal,Good,Low
235545,Scott County,Scott,IL,Nontribal,Moderate,Low
235575,Shelby County,Shelby,IL,Nontribal,Limited,Low
235605,Stark County,Stark,IL,Nontribal,Good,Low
235635,Stephenson County,Stephenson,IL,Nontribal,Limited,Moderate
235665,Tazewell County,Tazewell,IL,Nontribal,Good,High
235695,Union County,Union,IL,Nontribal,Limited,Low
235725,Vermilion County,Vermilion,IL,Nontribal,Limited,Moderate
235755,Wabash County,Wabash,IL,Nontribal,Limited,Low
235785,Warren County,Warren,IL,Nontribal,Moderate,Low
235815,Washington County,Washington,IL,Nontribal,Limited,Low
235845,Wayne County,Wayne,IL,Nontribal,Good,Low
235875,White County,White,IL,Nontribal,Limited,Low
235905,Whiteside County,Whiteside,IL,Nontribal,Good,Moderate
235935,Will County,Will,IL,Nontribal,Limited,High
235965,Williamson County,Williamson,IL,Nontribal,Moderate,Moderate
235995,Winnebago County,Winnebago,IL,Nontribal,Moderate,High
236025,Woodford County,Woodford,IL,Nontribal,Limited,Moderate
236055,Adams County,Adams,IN,Nontribal,Moderate,Moderate
236085,Allen County,Allen,IN,Nontribal,Limited,High
236115,Bartholomew County,Bartholomew,IN,Nontribal,Moderate,Moderate
236145,Benton County,Benton,IN,Nontribal,Limited,Low
236175,Blackford County,Blackford,IN,Nontribal,Limited,Low
236205,Boone County,Boone,IN,Nontribal,Good,Moderate
236235,Brown County,Brown,IN,Nontribal,Good,Low
236265,Carroll County,Carroll,IN,Nontribal,Limited,Low
236295,Cass County,Cass,IN,Nontribal,Moderate,Moderate
236325,Clark County,Clark,IN,Nontribal,Moderate,High
236355,Clay County,Clay,IN,Nontribal,Moderate,Low
236385,Clinton County,Clinton,IN,Nontribal,Moderate,Moderate
236415,Crawford County,Crawford,IN,Nontribal,Limited,Low
236445,Daviess County,Daviess,IN,Nontribal,Excellent,Moderate
236475,Dearborn County,Dearborn,IN,Nontribal,Excellent,Moderate
236505,Decatur County,Decatur,IN,Nontribal,Limited,Low
236535,DeKalb County,DeKalb,IN,Nontribal,Good,Moderate
236565,Delaware County,Delaware,IN,Nontribal,Limited,High
236595,Dubois County,Dubois,IN,Nontribal,Good,Moderate
236625,Elkhart County,Elkhart,IN,Nontribal,Good,High
236655,Fayette County,Fayette,IN,Nontribal,Good,Low
236685,Floyd County,Floyd,IN,Nontribal,Moderate,Moderate
236715,Fountain County,Fountain,IN,Nontribal,Moderate,Low
236745,Franklin County,Franklin,IN,Nontribal,Limited,Low
236775,Fulton County,Fulton,IN,Nontribal,Excellent,Low
236805,Gibson County,Gibson,IN,Nontribal,Limited,Moderate
236835,Grant County,Grant,IN,Nontribal,Moderate,Moderate
236865,Greene County,Greene,IN,Nontribal,Limited,Moderate
236895,Hamilton County,Hamilton,IN,Nontribal,Excellent,High
236925,Hancock County,Hancock,IN,Nontribal,Good,Moderate
236955,Harrison County,Harrison,IN,Nontribal,Limited,Moderate
236985,Hendricks County,Hendricks,IN,Nontribal,Moderate,High
237015,Henry County,Henry,IN,Nontribal,Good,Moderate
237045,Howard County,Howard,IN,Nontribal,Limited,Moderate
237075,Huntington County,Huntington,IN,Nontribal,Excellent,Moderate
237105,Jackson County,Jackson,IN,Nontribal,Excellent,Moderate
237135,Jasper County,Jasper,IN,Nontribal,Limited,Moderate
237165,Jay County,Jay,IN,Nontribal,Moderate,Low
237195,Jefferson County,Jefferson,IN,Nontribal,Good,Moderate
237225,Jennings County,Jennings,IN,Nontribal,Good,Low
237255,Johnson County,Johnson,IN,Nontribal,Excellent,High
237285,Knox County,Knox,IN,Nontribal,Good,Moderate
237315,Kosciusko County,Kosciusko,IN,Nontribal,Good,Moderate
237345,LaGrange County,LaGrange,IN,Nontribal,Good,Moderate
237375,Lake County,Lake,IN,Nontribal,Limited,High
237405,LaPorte County,LaPorte,IN,Nontribal,Moderate,High
237435,Lawrence County,Lawrence,IN,Nontribal,Limited,Moderate
237465,Madison County,Madison,IN,Nontribal,Limited,High
237495,Marion County,Marion,IN,Nontribal,Good,High
237525,Marshall County,Marshall,IN,Nontribal,Good,Moderate
237555,Martin County,Martin,IN,Nontribal,Good,Low
237585,Miami County,Miami,IN,Nontribal,Limited,Moderate
237615,Monroe County,Monroe,IN,Nontribal,Moderate,High
237645,Montgomery County,Montgomery,IN,Nontribal,Excellent,Moderate
237675,Morgan County,Morgan,IN,Nontribal,Good,Moderate
237705,Newton County,Newton,IN,Nontribal,Good,Low
237735,Noble County,Noble,IN,Nontribal,Good,Moderate
237765,Ohio County,Ohio,IN,Nontribal,Excellent,Low
237795,Orange County,Orange,IN,Nontribal,Excellent,Low
237825,Owen County,Owen,IN,Nontribal,Good,Low
237855,Parke County,Parke,IN,Nontribal,Limited,Low
237885,Perry County,Perry,IN,Nontribal,Excellent,Low
237915,Pike County,Pike,IN,Nontribal,Limited,Low
237945,Porter County,Porter,IN,Nontribal,Limited,High
237975,Posey County,Posey,IN,Nontribal,Limited,Low
238005,Pulaski County,Pulaski,IN,Nontribal,Moderate,Low
238035,Putnam County,Putnam,IN,Nontribal,Good,Moderate
238065,Randolph County,Randolph,IN,Nontribal,Limited,Low
238095,Ripley County,Ripley,IN,Nontribal,Good,Low
238125,Rush County,Rush,IN,Nontribal,Limited,Low
238155,St. Joseph County,St. Joseph,IN,Nontribal,Good,High
238185,Scott County,Scott,IN,Nontribal,Good,Low
238215,Shelby County,Shelby,IN,Nontribal,Moderate,Moderate
238245,Spencer County,Spencer,IN,Nontribal,Good,Low
238275,Starke County,Starke,IN,Nontribal,Moderate,Low
238305,Steuben County,Steuben,IN,Nontribal,Limited,Moderate
238335,Sullivan County,Sullivan,IN,Nontribal,Moderate,Low
238365,Switzerland County,Switzerland,IN,Nontribal,Excellent,Low
238395,Tippecanoe County,Tippecanoe,IN,Nontribal,Excellent,High
238425,Tipton County,Tipton,IN,Nontribal,Moderate,Low
238455,Union County,Union,IN,Nontribal,Limited,Low
238485,Vanderburgh County,Vanderburgh,IN,Nontribal,Good,High
238515,Vermillion County,Vermillion,IN,Nontribal,Limited,Low
238545,Vigo County,Vigo,IN,Nontribal,Moderate,High
238575,Wabash County,Wabash,IN,Nontribal,Excellent,Moderate
238605,Warren County,Warren,IN,Nontribal,Limited,Low
238635,Warrick County,Warrick,IN,Nontribal,Moderate,Moderate
238665,Washington County,Washington,IN,Nontribal,Good,Low
238695,Wayne County,Wayne,IN,Nontribal,Limited,Moderate
238725,Wells County,Wells,IN,Nontribal,Good,Low
238755,White County,White,IN,Nontribal,Good,Moderate
238785,Whitley County,Whitley,IN,Nontribal,Moderate,Moderate
238815,Adair County,Adair,IA,Nontribal,Limited,Low
238845,Adams County,Adams,IA,Nontribal,Limited,Low
238875,Allamakee County,Allamakee,IA,Nontribal,Moderate,Low
238905,Appanoose County,Appanoose,IA,Nontribal,Moderate,Low
238935,Audubon County,Audubon,IA,Nontribal,Good,Low
238965,Benton County,Benton,IA,Nontribal,Good,Low
238995,Black Hawk County,Black Hawk,IA,Nontribal,Good,High
239025,Boone County,Boone,IA,Nontribal,Moderate,Low
239055,Bremer County,Bremer,IA,Nontribal,Excellent,Low
239085,Buchanan County,Buchanan,IA,Nontribal,Good,Low
239115,Buena Vista County,Buena Vista,IA,Nontribal,Limited,Low
239145,Butler County,Butler,IA,Nontribal,Good,Low
239175,Calhoun County,Calhoun,IA,Nontribal,Good,Low
239205,Carroll County,Carroll,IA,Nontribal,Excellent,Low
239235,Cass County,Cass,IA,Nontribal,Moderate,Low
239265,Cedar County,Cedar,IA,Nontribal,Good,Low
239295,Cerro Gordo County,Cerro Gordo,IA,Nontribal,Excellent,Moderate
239325,Cherokee County,Cherokee,IA,Nontribal,Good,Low
239355,Chickasaw County,Chickasaw,IA,Nontribal,Good,Low
239385,Clarke County,Clarke,IA,Nontribal,Moderate,Low
239415,Clay County,Clay,IA,Nontribal,Moderate,Low
239445,Clayton County,Clayton,IA,Nontribal,Limited,Low
239475,Clinton County,Clinton,IA,Nontribal,Limited,Moderate
239505,Crawford County,Crawford,IA,Nontribal,Moderate,Low
239535,Dallas County,Dallas,IA,Nontribal,Good,High
239565,Davis County,Davis,IA,Nontribal,Excellent,Low
239595,Decatur County,Decatur,IA,Nontribal,Excellent,Low
239625,Delaware County,Delaware,IA,Nontribal,Moderate,Low
239655,Des Moines County,Des Moines,IA,Nontribal,Limited,Moderate
239685,Dickinson County,Dickinson,IA,Nontribal,Limited,Moderate
239715,Dubuque County,Dubuque,IA,Nontribal,Limited,Moderate
239745,Emmet County,Emmet,IA,Nontribal,Limited,Low
239775,Fayette County,Fayette,IA,Nontribal,Moderate,Low
239805,Floyd County,Floyd,IA,Nontribal,Moderate,Low
239835,Franklin County,Franklin,IA,Nontribal,Good,Low
239865,Fremont County,Fremont,IA,Nontribal,Moderate,Low
239895,Greene County,Greene,IA,Nontribal,Good,Low
239925,Grundy County,Grundy,IA,Nontribal,Limited,Low
239955,Guthrie County,Guthrie,IA,Nontribal,Good,Low
239985,Hamilton County,Hamilton,IA,Nontribal,Limited,Low
240015,Hancock County,Hancock,IA,Nontribal,Excellent,Low
240045,Hardin County,Hardin,IA,Nontribal,Good,Low
240075,Harrison County,Harrison,IA,Nontribal,Limited,Low
240105,Henry County,Henry,IA,Nontribal,Moderate,Low
240135,Howard County,Howard,IA,Nontribal,Good,Low
240165,Humboldt County,Humboldt,IA,Nontribal,Good,Low
240195,Ida County,Ida,IA,Nontribal,Limited,Low
240225,Iowa County,Iowa,IA,Nontribal,Good,Low
240255,Jackson County,Jackson,IA,Nontribal,Good,Low
240285,Jasper County,Jasper,IA,Nontribal,Good,Moderate
240315,Jefferson County,Jefferson,IA,Nontribal,Good,Low
240345,Johnson County,Johnson,IA,Nontribal,Good,High
240375,Jones County,Jones,IA,Nontribal,Good,Low
240405,Keokuk County,Keokuk,IA,Nontribal,Moderate,Low
240435,Kossuth County,Kossuth,IA,Nontribal,Moderate,Low
240465,Lee County,Lee,IA,Nontribal,Limited,Moderate
240495,Linn County,Linn,IA,Nontribal,Limited,High
240525,Louisa County,Louisa,IA,Nontribal,Limited,Low
240555,Lucas County,Lucas,IA,Nontribal,Moderate,Low
240585,Lyon County,Lyon,IA,Nontribal,Moderate,Low
240615,Madison County,Madison,IA,Nontribal,Limited,Low
240645,Mahaska County,Mahaska,IA,Nontribal,Good,Low
